rec_id, credit_card, birth_date, salary, age, surname, given_name, gender, city, gender2, income, aus_state, income2, city2, city2
 rec-12-org, 6143 6546 4497 3243, 31-10-2009, 85741.566, 76, badger, danielle, male, sydney, f, 37541.674, qld, 57835.754, hobart, hobart
 rec-13-org, 6798 9511 5860 6547, 11-04-2011, 73209.136, 10, leong, brooke, male, melbourne, m, 62027.406, nsw, 349632.243, sydney, sydney
 rec-14-dup-0, , 10-02-2005, 161215.397, 84, matews, jessica, male, melblurne, na, 1488.154, act, 186032.516, sydney, sydney
 rec-14-dup-1, , 10-02-2005, 161215.397, 84, madthew5, jessica, male, melbo7rne, na, 1488.154, act, 186032.516, sydney, sydney
 rec-14-dup-2, , 10-02-2005, 161215.397, 84, mattbews, jessica, male, melbourns, na, 1488.154, act, 186032.516, sydney, sydney
 rec-14-org, 2711 9757 6876 3274, 10-02-2005, 161215.397, 84, matthews, jessica, male, melbourne, na, 1488.154, act, 186032.516, sydney, sydney
 rec-15-dup-0, , 05-07-2004, 84936.398, 30, rodnan, caleb, female, pefth, na, 84709.434, vic, 60824.232, melbourne, melbourne
 rec-15-dup-1, 7117 7894 3928 9695, 05-07-2004, 84936.398, 3o, rotnan, caleb, female, perty, na, 84709.434, vic, 60824.232, melbourne, melbourne
 rec-15-dup-2, , 05-07-2004, 84936.398, 30, rodman, caleb, female, p4rrh, na, 84709.434, vic, 60824.232, melbourne, melbourne
 rec-15-dup-3, , 05-07-2004, 84936.398, 3o, rodman, caleb, female, perth, na, 84709.434, vic, 60824.232, melbourne, melbourne
 rec-15-org, 7117 7894 3928 9695, 05-07-2004, 84936.398, 30, rotman, caleb, female, perth, na, 84709.434, vic, 60824.232, melbourne, melbourne
 rec-16-dup-0, 0804 8743 2737 3887, 18-02-2012, 121713.299, 8z, gryr5on, breony, male, melbourn4, na, 118116.752, nt, 58867.619, sydney, sydney
 rec-16-dup-1, , 18-02-2012, 121713.299, 88, gahierson, breony, male, melbourne, na, 118116.752, nt, 58867.619, sydney, sydney
 rec-16-org, 0804 8743 2737 3887, 18-02-2012, 121713.299, 82, grierson, breony, male, melbourne, na, 118116.752, nt, 58867.619, sydney, sydney
 rec-17-org, 9910 8509 7225 2809, 29-07-2010, 123121.341, 21, stephenson, amber, male, sydney, m, 99203.655, nsw, 479828.886, sydney, sydney
 rec-18-org, 1020 6050 6058 7662, 18-02-2003, 67788.403, 88, seen, deakin, male, melbourne, m, 81931.863, nsw, 352903.131, melbourne, melbourne
 rec-19-org, 4242 6823 2338 5935, 09-04-2003, 145720.615, 61, blake, joshua, male, melbourne, f, 140879.942, sa, 141560.434, sydney, sydney
 rec-20-org, 1165 4237 2352 4823, 20-05-2002, 64369.654, 64, marlow, max, female, sydney, f, 136876.799, nsw, 33976.099, sydney, sydney
 rec-21-dup-0, 3050 4267 7446 0855, 08-02-2010, 102104.730, 4l, zemanof:c, vanessa, male, canbdrra, na, 26517.499, qld, 33955.042, melbourne, melbourne
 rec-21-org, 3050 4267 7446 0855, 08-02-2010, 102104.730, 41, zemanovic, vanessa, male, canberra, na, 26517.499, qld, 33955.042, melbourne, melbourne
 rec-22-org, 9048 9890 6790 6874, 27-11-2003, 87171.534, 32, gilbertson, abbey, female, sydney, na, 85542.062, tas, 42550.662, canberra, canberra
 rec-23-org, 3176 0863 1375 1931, 06-02-2012, 120947.104, 84, cruickshanks, abby, male, melbourne, na, 69186.125, nsw, 419792.341, melbourne, melbourne
 rec-24-org, 3927 6231 6582 7452, 19-02-2000, 106912.545, 56, beniston, taalia, female, sydney, f, 121936.660, qld, 25701.201, sydney, sydney
 rec-25-dup-0, , 17-01-2005, 108065.526, 76, klarcke, joshua, male, melbourn4, na, 105005.018, vic, 55643.393, melbourne, melbourne
 rec-25-org, 8432 6930 0201 6321, 17-01-2005, 108065.526, 76, clarke, joshua, male, melbourne, na, 105005.018, vic, 55643.393, melbourne, melbourne
 rec-26-dup-0, , 04-05-2004, 66162.950, 96, dacljc, tristan, female, syrney, m, 64332.967, nsw, 499736.331, sydney, sydney
 rec-26-dup-1, , 04-05-2004, 66162.950, q6, tadik, tristan, female, sydney, m, 64332.967, nsw, 499736.331, sydney, sydney
 rec-26-org, 7795 6355 6432 3977, 04-05-2004, 66162.950, 96, dadic, tristan, female, sydney, m, 64332.967, nsw, 499736.331, sydney, sydney
 rec-27-org, 5074 2312 3589 5206, 20-06-2005, 115510.859, 80, lowe, ned, male, perth, f, 105005.565, sa, 85934.975, melbourne, melbourne
 rec-28-org, 3726 6318 9775 3173, 03-08-2001, 133129.246, 54, nguyen, charles, male, canberra, f, 246714.133, vic, 28475.878, melbourne, melbourne
 rec-29-org, 1186 2070 8589 3711, 22-11-2008, 122986.749, 49, galarneau, evan, male, melbourne, f, 86578.361, nsw, 317394.513, melbourne, melbourne
 rec-30-org, 6133 8603 9356 0744, 25-10-2011, 96008.525, 17, kaufman, daniel, female, brisbane, f, 10308.591, nsw, 92675.253, hobart, hobart
 rec-31-dup-0, , 06-01-2003, 118734.995, 1l, ma, alexandra, male, per4h, na, 4226.454, nsw, 424783.214, sydney, sydney
 rec-31-org, 9611 5416 3262 4381, 06-01-2003, 118734.995, 11, ma, alexandra, male, perth, na, 4226.454, nsw, 424783.214, sydney, sydney
 rec-32-dup-0, , 05-08-2005, 104082.911, q7, grin, noah, male, melbourne, f, 153869.807, sa, 191694.448, sydney, sydney
 rec-32-org, 7716 0919 7429 6587, 05-08-2005, 104082.911, 79, green, noah, male, melbourne, f, 153869.807, sa, 191694.448, sydney, sydney
 rec-33-dup-0, , 15-11-2002, 111534.031, 15, beatie, mitchell, male, sydnsy, f, 248579.368, wa, 36207.824, sydney, sydney
 rec-33-dup-1, , 15-11-2002, 111534.031, 15, beatie, mitchell, male, sycney, f, 248579.368, wa, 36207.824, sydney, sydney
 rec-33-org, 3547 0836 2516 4669, 15-11-2002, 111534.031, 15, beattie, mitchell, male, sydney, f, 248579.368, wa, 36207.824, sydney, sydney
 rec-34-org, 0154 6691 7119 0847, 06-04-2006, 91461.085, 35, collinson, harrison, female, sydney, na, 83103.150, vic, 46463.206, sydney, sydney
 rec-35-org, 5104 8205 5648 6776, 23-09-2008, 116380.202, 75, beelitz, francesco, female, brisbane, m, 50244.873, wa, 119943.061, sydney, sydney
 rec-36-org, 4644 0831 7699 2084, 09-11-2010, 72017.217, 60, tregoning, william, female, brisbane, f, 217975.314, qld, 67589.185, canberra, canberra
 rec-37-dup-0, , 07-06-2000, 102395.500, 66, stariley, briony, male, per5n, f, 24666.479, sa, 211201.445, sydney, sydney
 rec-37-dup-1, , 07-06-2000, 102395.500, 66, stanlev, briony, male, pertn, f, 24666.479, sa, 211201.445, sydney, sydney
 rec-37-dup-2, 1833 7202 5786 8414, 07-06-2000, 102395.500, 60, jtanly, briony, male, per5h, f, 24666.479, sa, 211201.445, sydney, sydney
 rec-37-org, 1833 7202 5786 8414, 07-06-2000, 102395.500, 66, stanley, briony, male, perth, f, 24666.479, sa, 211201.445, sydney, sydney
 rec-38-org, 2214 3812 3001 1329, 17-09-2005, 85669.114, 85, sheehan-harradine, scott, female, sydney, f, 78416.500, vic, 54679.966, melbourne, melbourne
 rec-39-org, 5929 8688 3040 5003, 01-07-2004, 114489.052, 82, fleet, stephanie, male, perth, f, 19805.009, wa, 129526.125, sydney, sydney
 rec-40-org, 0900 7188 2144 3498, 18-01-2003, 101021.703, 34, dixon, todd, male, melbourne, na, 87102.114, wa, 48839.719, hobart, hobart
 rec-41-org, 8941 8038 1067 0239, 11-11-2000, 75814.109, 88, priest, edward, female, sydney, f, 62269.173, tas, 24187.132, canberra, canberra
 rec-42-org, 0400 3593 4675 3787, 29-05-2010, 99759.823, 36, estrella, travis, female, canberra, m, 70547.128, tas, 38938.031, melbourne, melbourne
 rec-43-org, 9631 0831 7969 1404, 28-04-2008, 129655.319, 87, white, georgia, female, sydney, f, 60791.435, qld, 28828.048, sydney, sydney
 rec-44-dup-0, , 24-08-2012, 111075.508, 57, ki5z, alana, male, melbourne, f, 101901.018, nsw, 323831.637, sydney, sydney
 rec-44-org, 1489 3076 2170 0064, 24-08-2012, 111075.508, 75, kiss, alana, male, melbourne, f, 101901.018, nsw, 323831.637, sydney, sydney
 rec-45-org, 9314 1015 4537 0899, 06-12-2000, 97736.324, 81, white, molly, male, sydney, f, 46071.139, vic, 47816.112, melbourne, melbourne
 rec-46-org, 1763 4220 8136 6229, 17-10-2010, 110366.864, 92, pagoda, thomas, female, brisbane, f, 111144.740, qld, 23495.342, sydney, sydney
 rec-47-dup-0, , 23-09-2003, 126338.274, 36, mathews, sophie, male, melbou5ne, m, 71198.364, vic, 45946.656, melbourne, melbourne
 rec-47-org, 1660 8022 6162 2379, 23-09-2003, 126338.274, 36, matthews, sophie, male, melbourne, m, 71198.364, vic, 45946.656, melbourne, melbourne
 rec-48-dup-0, , 24-08-2008, 89834.359, 51, mixeliiiore, lucas, female, sydgey, m, 97163.846, nsw, 315703.743, melbourne, melbourne
 rec-48-dup-1, , 24-08-2008, 89834.359, 5|, micelmore, lucas, female, sydney, m, 97163.846, nsw, 315703.743, melbourne, melbourne
 rec-48-dup-2, 6188 8950 3840 4870, 24-08-2008, 89834.359, 5|, michelmor, lucas, female, sydne7, m, 97163.846, nsw, 315703.743, melbourne, melbourne
 rec-48-dup-3, , 24-08-2008, 89834.359, 51, michelmor, lucas, female, sycney, m, 97163.846, nsw, 315703.743, melbourne, melbourne
 rec-48-org, 6188 8950 3840 4870, 24-08-2008, 89834.359, 51, michelmore, lucas, female, sydney, m, 97163.846, nsw, 315703.743, melbourne, melbourne
 rec-49-org, 4742 7994 3652 4835, 21-11-2011, 133644.920, 11, tiller, christian, male, melbourne, m, 31202.289, tas, 13337.783, melbourne, melbourne
 rec-50-dup-0, 7587 8739 1900 8178, 03-05-2006, 141679.433, 6q, br0oker, kieren, female, per5b, f, 50457.536, nsw, 478185.345, melbourne, melbourne
 rec-50-dup-1, 7587 8739 1900 8178, 03-05-2006, 141679.433, 46, broocker, kieren, female, pe5th, f, 50457.536, nsw, 478185.345, melbourne, melbourne
 rec-50-dup-2, 7587 8739 1900 8178, 03-05-2006, 141679.433, 46, bro0keah, kieren, female, per5j, f, 50457.536, nsw, 478185.345, melbourne, melbourne
 rec-50-dup-3, , 03-05-2006, 141679.433, 40, broocker, kieren, female, perth, f, 50457.536, nsw, 478185.345, melbourne, melbourne
 rec-50-org, 7587 8739 1900 8178, 03-05-2006, 141679.433, 64, brooker, kieren, female, perth, f, 50457.536, nsw, 478185.345, melbourne, melbourne
 rec-51-org, 4919 9857 5220 4089, 11-08-2005, 140508.775, 87, ryan, jasmine, male, sydney, na, 122314.037, qld, 46600.086, melbourne, melbourne
 rec-52-dup-0, 2502 3253 9539 5933, 19-12-2003, 137828.480, 41, whide, ned, male, melgourje, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-52-dup-1, 2502 3253 9539 5933, 19-12-2003, 137828.480, 52, whide, ned, male, melgourne, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-52-dup-2, , 19-12-2003, 137828.480, 2z, hide, ned, male, melbourne, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-52-dup-3, , 19-12-2003, 137828.480, 42, wi9ht, ned, male, melgourne, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-52-dup-4, , 19-12-2003, 137828.480, 2q, wh:te, ned, male, melbourne, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-52-org, 2502 3253 9539 5933, 19-12-2003, 137828.480, 42, white, ned, male, melbourne, f, 21733.840, wa, 119170.601, sydney, sydney
 rec-53-org, 7309 1625 3803 6202, 08-12-2008, 78197.208, 70, lamprey, zali, male, melbourne, m, 97372.111, nsw, 209041.797, sydney, sydney
 rec-54-org, 0614 3932 2521 0663, 03-10-2009, 108872.273, 68, campbell, caleb, male, melbourne, m, 22808.131, vic, 44457.487, hobart, hobart
 rec-55-org, 8061 4387 0711 8604, 23-08-2012, 105579.485, 85, lanyon, cassandra, male, melbourne, m, 88356.749, nsw, 161960.471, sydney, sydney
 rec-56-org, 3584 9304 7259 9827, 18-05-2007, 117229.042, 42, walkington, lachlan-john, male, canberra, f, 135688.663, qld, 48958.336, sydney, sydney
 rec-57-org, 5387 6864 7931 3215, 21-06-2000, 100907.869, 49, miles, jayden, male, melbourne, m, 26712.439, vic, 34120.605, melbourne, melbourne
 rec-58-dup-0, 8849 6273 7923 7145, 04-11-2000, 112165.237, 22, vince17t, caitlin, male, syrney, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-58-dup-1, , 04-11-2000, 112165.237, 26, fincent, caitlin, male, sydhey, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-58-dup-2, , 04-11-2000, 112165.237, 28, vinstent, caitlin, male, sydney, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-58-dup-3, , 04-11-2000, 112165.237, 72, vincent, caitlin, male, sydhey, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-58-dup-4, , 04-11-2000, 112165.237, 26, vinserit, caitlin, male, sydheu, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-58-org, 8849 6273 7923 7145, 04-11-2000, 112165.237, 26, vincent, caitlin, male, sydney, na, 85932.483, vic, 48568.838, sydney, sydney
 rec-59-org, 9954 8114 1783 4640, 30-11-2002, 100988.929, 54, seddon, zali, male, sydney, m, 28969.923, nsw, 64939.247, sydney, sydney
 rec-60-dup-0, 4489 2190 8890 0697, 21-11-2006, 125833.340, 9, ebh, anneliese, male, melboirne, m, 58826.852, vic, 43782.348, melbourne, melbourne
 rec-60-dup-1, , 21-11-2006, 125833.340, 6, weblo, anneliese, male, melbou3ne, m, 58826.852, vic, 43782.348, melbourne, melbourne
 rec-60-dup-2, , 21-11-2006, 125833.340, 7, wepb, anneliese, male, melbourne, m, 58826.852, vic, 43782.348, melbourne, melbourne
 rec-60-dup-3, 4489 2190 8890 0697, 21-11-2006, 125833.340, 1, webl>, anneliese, male, melboyfne, m, 58826.852, vic, 43782.348, melbourne, melbourne
 rec-60-org, 4489 2190 8890 0697, 21-11-2006, 125833.340, 6, webb, anneliese, male, melbourne, m, 58826.852, vic, 43782.348, melbourne, melbourne
 rec-61-dup-0, 4588 0358 6535 2350, 30-10-2012, 80415.411, 51, cJarcke, david, male, melbou5ne, na, 59382.359, vic, 51344.189, canberra, canberra
 rec-61-dup-1, 4588 0358 6535 2350, 30-10-2012, 80415.411, 17, clarI<e, david, male, melbojrne, na, 59382.359, vic, 51344.189, canberra, canberra
 rec-61-dup-2, , 30-10-2012, 80415.411, 7l, clarl<e, david, male, melbourne, na, 59382.359, vic, 51344.189, canberra, canberra
 rec-61-org, 4588 0358 6535 2350, 30-10-2012, 80415.411, 71, clarke, david, male, melbourne, na, 59382.359, vic, 51344.189, canberra, canberra
 rec-62-org, 0082 3652 1170 8935, 08-02-2006, 87801.906, 69, kilmartin, michael, male, sydney, m, 73848.317, nsw, 212481.118, sydney, sydney
 rec-63-org, 8365 1395 9640 2191, 14-06-2008, 151367.257, 9, zarkovic, jack, male, perth, na, 56803.270, sa, 58016.942, sydney, sydney
 rec-64-org, 8579 6290 6520 5009, 07-07-2004, 72470.242, 80, ferris, sarah, male, perth, f, 80507.077, nsw, 153747.609, melbourne, melbourne
 rec-65-dup-0, 2180 6714 3800 1209, 27-07-2009, 90119.540, 63, eckan, zachary, male, stdney, f, 178792.099, vic, 54327.873, canberra, canberra
 rec-65-org, 2180 6714 3800 1209, 27-07-2009, 90119.540, 36, egan, zachary, male, sydney, f, 178792.099, vic, 54327.873, canberra, canberra
 rec-66-org, 4862 4502 9380 3097, 17-03-2002, 119956.382, 44, leane, emiily, male, melbourne, m, 88920.720, tas, 25452.303, melbourne, melbourne
 rec-67-org, 1976 2495 3463 6968, 29-11-2011, 107928.110, 17, webb, isaiah, male, sydney, f, 122129.659, act, 109780.168, melbourne, melbourne
 rec-68-org, 9586 1527 4234 2865, 14-12-2006, 71764.963, 73, mccarthy, alexandra, male, melbourne, f, 14503.488, wa, 164801.474, sydney, sydney
 rec-69-dup-0, , 08-10-2012, 95062.202, 1z, ryan, luke, male, melhourne, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-69-dup-1, , 08-10-2012, 95062.202, 12, riam, luke, male, melbo8rne, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-69-dup-2, , 08-10-2012, 95062.202, 1z, ryari, luke, male, melbourne, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-69-dup-3, , 08-10-2012, 95062.202, 12, r'lean, luke, male, melbo8rne, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-69-dup-4, 0026 4974 4394 9371, 08-10-2012, 95062.202, 21, riean, luke, male, melbouene, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-69-org, 0026 4974 4394 9371, 08-10-2012, 95062.202, 12, ryan, luke, male, melbourne, f, 14310.765, wa, 104955.867, melbourne, melbourne
 rec-70-dup-0, , 13-06-2010, 97657.588, 5o, papandreo, evan, female, melbourne, m, 63860.038, qld, 62452.791, sydney, sydney
 rec-70-org, 3439 2468 6707 7467, 13-06-2010, 97657.588, 50, papandreou, evan, female, melbourne, m, 63860.038, qld, 62452.791, sydney, sydney
 rec-71-dup-0, , 25-07-2009, 131545.726, 66, warnokck, grace, female, melb97rne, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-71-dup-1, , 25-07-2009, 131545.726, 66, warn0ck, grace, female, meonourne, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-71-dup-2, , 25-07-2009, 131545.726, 66, waahnock, grace, female, meobournd, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-71-dup-3, , 25-07-2009, 131545.726, 66, arnoc1<, grace, female, melbojrn3, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-71-dup-4, , 25-07-2009, 131545.726, 66, war17ock, grace, female, melboyrne, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-71-org, 4322 3080 0817 2287, 25-07-2009, 131545.726, 66, warnock, grace, female, melbourne, f, 129866.205, sa, 157482.617, sydney, sydney
 rec-72-org, 0045 4816 0508 4153, 20-10-2009, 89660.384, 80, lowe, natasha, female, brisbane, f, 13424.067, qld, 21954.682, sydney, sydney
 rec-73-org, 4423 4023 7937 9754, 11-04-2002, 91957.020, 32, le messurier, benjamin, female, sydney, m, 69076.139, nsw, 169819.471, melbourne, melbourne
 rec-74-dup-0, 1032 9571 9150 5462, 10-12-2002, 78461.956, z8, fitzpatricck, tahlia, female, syrnry, na, 38712.587, qld, 23739.768, melbourne, melbourne
 rec-74-dup-1, , 10-12-2002, 78461.956, 28, fitjpatrick, tahlia, female, sydneh, na, 38712.587, qld, 23739.768, melbourne, melbourne
 rec-74-org, 1032 9571 9150 5462, 10-12-2002, 78461.956, 28, fitzpatrick, tahlia, female, sydney, na, 38712.587, qld, 23739.768, melbourne, melbourne
 rec-75-org, 7695 2143 2532 8177, 07-10-2000, 97501.769, 63, furness, alexander, male, sydney, f, 66215.020, qld, 27146.610, sydney, sydney
 rec-76-org, 3488 6081 9865 6187, 21-11-2000, 71987.296, 22, nieminski, ella, male, sydney, f, 19174.503, sa, 55957.948, melbourne, melbourne
 rec-77-org, 0935 9717 1795 9163, 30-02-2000, 144156.581, 12, willing, ridley, male, melbourne, na, 139297.837, nsw, 358611.614, sydney, sydney
 rec-78-org, 7919 0210 1976 3798, 23-06-2005, 161207.164, 80, shepherd, mikhayla, male, melbourne, m, 71132.552, wa, 20279.628, sydney, sydney
 rec-79-dup-0, 0806 5034 3025 7255, 21-11-2006, 149940.298, 43, finlai, reece, male, melbourje, f, 105357.389, qld, 89154.864, sydney, sydney
 rec-79-dup-1, 0806 5034 3025 7255, 21-11-2006, 149940.298, 99, vinJay, reece, male, melblurne, f, 105357.389, qld, 89154.864, sydney, sydney
 rec-79-dup-2, , 21-11-2006, 149940.298, 93, vinlay, reece, male, melbourn4, f, 105357.389, qld, 89154.864, sydney, sydney
 rec-79-dup-3, 0806 5034 3025 7255, 21-11-2006, 149940.298, 90, vin|ay, reece, male, melbournr, f, 105357.389, qld, 89154.864, sydney, sydney
 rec-79-org, 0806 5034 3025 7255, 21-11-2006, 149940.298, 93, finlay, reece, male, melbourne, f, 105357.389, qld, 89154.864, sydney, sydney
 rec-80-dup-0, 4793 9714 4623 4954, 22-07-2000, 128539.370, 58, ckowell, emiily, male, per5g, na, 55338.640, nsw, 279519.296, canberra, canberra
 rec-80-org, 4793 9714 4623 4954, 22-07-2000, 128539.370, 59, cowell, emiily, male, perth, na, 55338.640, nsw, 279519.296, canberra, canberra
 rec-81-dup-0, 1143 5533 0980 6257, 27-11-2007, 136286.157, 05, mkartby, benjamin, female, briwhane, f, 136222.957, sa, 126370.217, melbourne, melbourne
 rec-81-dup-1, 1143 5533 0980 6257, 27-11-2007, 136286.157, o5, mccarthv, benjamin, female, brishqne, f, 136222.957, sa, 126370.217, melbourne, melbourne
 rec-81-org, 1143 5533 0980 6257, 27-11-2007, 136286.157, 50, mccarthy, benjamin, female, brisbane, f, 136222.957, sa, 126370.217, melbourne, melbourne
 rec-82-dup-0, , 27-12-2004, 147175.728, 66, wepb, ebony, female, brisbwne, na, 32040.973, act, 32542.854, sydney, sydney
 rec-82-dup-1, , 27-12-2004, 147175.728, 66, ehb, ebony, female, brisband, na, 32040.973, act, 32542.854, sydney, sydney
 rec-82-dup-2, , 27-12-2004, 147175.728, 66, epb, ebony, female, brisban3, na, 32040.973, act, 32542.854, sydney, sydney
 rec-82-dup-3, 2426 2289 1364 2584, 27-12-2004, 147175.728, 56, wep, ebony, female, brosbqne, na, 32040.973, act, 32542.854, sydney, sydney
 rec-82-org, 2426 2289 1364 2584, 27-12-2004, 147175.728, 66, webb, ebony, female, brisbane, na, 32040.973, act, 32542.854, sydney, sydney
 rec-83-dup-0, 2387 8175 7445 9905, 21-04-2011, 117430.790, 3|, korrie, aaron, female, sydneh, na, 111007.526, wa, 111608.045, sydney, sydney
 rec-83-org, 2387 8175 7445 9905, 21-04-2011, 117430.790, 31, corrie, aaron, female, sydney, na, 111007.526, wa, 111608.045, sydney, sydney
 rec-84-org, 5511 7769 6094 8384, 03-06-2005, 87914.902, 56, rawlings, caleb, female, sydney, m, 53437.717, nsw, 408198.594, melbourne, melbourne
 rec-85-dup-0, , 10-11-2005, 93692.957, 3q, haratszti, emmet, male, sydney, m, 62197.161, nsw, 408162.898, sydney, sydney
 rec-85-dup-1, , 10-11-2005, 93692.957, 34, hara5zti, emmet, male, sycn4y, m, 62197.161, nsw, 408162.898, sydney, sydney
 rec-85-org, 2510 1046 5058 5847, 10-11-2005, 93692.957, 34, haraszti, emmet, male, sydney, m, 62197.161, nsw, 408162.898, sydney, sydney
 rec-86-dup-0, , 25-08-2004, 51205.215, 20, coleqate, max, female, brisbwne, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-86-dup-1, , 25-08-2004, 51205.215, 20, coIegate, max, female, brisbwne, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-86-dup-2, 0326 0787 1269 0644, 25-08-2004, 51205.215, 0z, cole9at, max, female, brishane, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-86-dup-3, , 25-08-2004, 51205.215, 20, colegat, max, female, brisband, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-86-dup-4, 0326 0787 1269 0644, 25-08-2004, 51205.215, 2t, coJeqate, max, female, brisbahe, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-86-org, 0326 0787 1269 0644, 25-08-2004, 51205.215, 20, colegate, max, female, brisbane, m, 88329.265, nsw, 349145.132, melbourne, melbourne
 rec-87-org, 5626 0544 2739 1148, 05-12-2002, 102573.264, 74, reid, bianca, female, sydney, f, 18171.128, wa, 157762.344, sydney, sydney
 rec-88-org, 2639 9507 1564 4231, 09-04-2003, 89647.927, 58, cannons, thomas, male, melbourne, f, 65911.100, qld, 62942.537, melbourne, melbourne
